Number of species	35
Number of genes	479863
Number of genes in orthogroups	474534
Number of unassigned genes	5329
Percentage of genes in orthogroups	98.9
Percentage of unassigned genes	1.1
Number of orthogroups	16520
Number of species-specific orthogroups	1273
Number of genes in species-specific orthogroups	5115
Percentage of genes in species-specific orthogroups	1.1
Mean orthogroup size	28.7
Median orthogroup size	35.0
G50 (assigned genes)	36
G50 (all genes)	36
O50 (assigned genes)	4858
O50 (all genes)	4932
Number of orthogroups with all species present	6716
Number of single-copy orthogroups	2753
Date	2024-05-15
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	7917	47.9	105781	22.3
'1	8160	49.4	304338	64.1
'2	214	1.3	17828	3.8
'3	82	0.5	9854	2.1
'4	53	0.3	8128	1.7
'5	26	0.2	5004	1.1
'6	16	0.1	3575	0.8
'7	14	0.1	3647	0.8
'8	9	0.1	2619	0.6
'9	3	0.0	974	0.2
'10	6	0.0	2198	0.5
11-15	15	0.1	7179	1.5
16-20	4	0.0	2624	0.6
21-50	1	0.0	785	0.2
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	1273
2	2278
3	568
4	311
5	246
6	122
7	83
8	88
9	66
10	68
11	54
12	70
13	57
14	51
15	57
16	64
17	70
18	63
19	73
20	62
21	74
22	65
23	73
24	76
25	80
26	57
27	85
28	113
29	117
30	164
31	204
32	316
33	622
34	2034
35	6716
