	Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds	Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds	Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds	Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds	Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds	Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds	Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds	Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds	Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds	Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds	Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds	Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds	Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds	Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds	Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds	Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds	Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds	Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds	Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds	Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds	Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds	Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds	Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds	Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds	Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds
Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	0.0	10022.0	9380.0	9484.0	9362.0	9770.0	9788.0	9439.0	9657.0	10649.0	9393.0	9923.0	8972.0	9216.0	8843.0	9614.0	9462.0	9690.0	9607.0	9569.0	9143.0	9614.0	9694.0	9457.0	9458.0	9513.0	10125.0	9539.0	9882.0	9737.0	9162.0	9800.0	9787.0	9617.0	9152.0
Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	10022.0	0.0	9614.0	9722.0	9496.0	9928.0	9990.0	9630.0	9863.0	10195.0	9607.0	10127.0	9145.0	9445.0	8980.0	9829.0	9678.0	9919.0	9717.0	9774.0	9354.0	9822.0	9948.0	9693.0	9698.0	9759.0	10903.0	9779.0	10078.0	9936.0	9354.0	10024.0	10017.0	9830.0	9408.0
Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	9380.0	9614.0	0.0	9584.0	9087.0	9521.0	9820.0	9272.0	9685.0	9598.0	9157.0	9650.0	8817.0	9303.0	8559.0	9718.0	9515.0	9758.0	9192.0	9516.0	9065.0	9704.0	9483.0	9524.0	9518.0	9571.0	9653.0	9492.0	9604.0	9498.0	8906.0	9828.0	9845.0	9692.0	9212.0
Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	9484.0	9722.0	9584.0	0.0	9212.0	9630.0	9960.0	9311.0	9929.0	9677.0	9297.0	9786.0	8862.0	9431.0	8726.0	10266.0	9793.0	10037.0	9304.0	9676.0	9236.0	10361.0	9576.0	9648.0	9665.0	9710.0	9750.0	9509.0	9703.0	9609.0	9023.0	10140.0	10160.0	10004.0	9419.0
Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	9362.0	9496.0	9087.0	9212.0	0.0	10935.0	9464.0	9013.0	9346.0	9508.0	9182.0	9715.0	8648.0	8957.0	8788.0	9277.0	9190.0	9380.0	9270.0	9317.0	8964.0	9303.0	9340.0	9158.0	9165.0	9228.0	9532.0	9191.0	9621.0	9543.0	8975.0	9493.0	9493.0	9411.0	8904.0
Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	9770.0	9928.0	9521.0	9630.0	10935.0	0.0	9897.0	9481.0	9823.0	9925.0	9590.0	10149.0	9057.0	9359.0	9179.0	9701.0	9594.0	9814.0	9608.0	9715.0	9285.0	9714.0	9746.0	9598.0	9589.0	9653.0	10003.0	9621.0	10058.0	9919.0	9351.0	9916.0	9937.0	9767.0	9327.0
Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	9788.0	9990.0	9820.0	9960.0	9464.0	9897.0	0.0	9568.0	10107.0	9970.0	9539.0	10064.0	9100.0	9835.0	8932.0	10075.0	9873.0	10191.0	9600.0	9914.0	9434.0	10075.0	9819.0	10216.0	10227.0	10308.0	10065.0	9751.0	10024.0	9864.0	9289.0	10295.0	10301.0	10086.0	10336.0
Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	9439.0	9630.0	9272.0	9311.0	9013.0	9481.0	9568.0	0.0	9438.0	9603.0	9130.0	9602.0	10330.0	9018.0	8534.0	9442.0	9239.0	9496.0	9107.0	9387.0	8964.0	9411.0	9501.0	9247.0	9237.0	9311.0	9715.0	9441.0	9612.0	9415.0	8889.0	9587.0	9599.0	9426.0	8973.0
Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	9657.0	9863.0	9685.0	9929.0	9346.0	9823.0	10107.0	9438.0	0.0	9831.0	9433.0	9960.0	8989.0	9535.0	8878.0	10033.0	9850.0	10204.0	9497.0	9799.0	9378.0	10030.0	9657.0	9830.0	9797.0	9871.0	9989.0	9585.0	9894.0	9770.0	9185.0	10265.0	10308.0	10081.0	9515.0
Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	10649.0	10195.0	9598.0	9677.0	9508.0	9925.0	9970.0	9603.0	9831.0	0.0	9606.0	10114.0	9149.0	9394.0	8987.0	9804.0	9612.0	9896.0	9756.0	9740.0	9313.0	9795.0	9875.0	9635.0	9632.0	9705.0	10315.0	9695.0	10084.0	9933.0	9297.0	9999.0	9999.0	9808.0	9327.0
Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds	9393.0	9607.0	9157.0	9297.0	9182.0	9590.0	9539.0	9130.0	9433.0	9606.0	0.0	11670.0	8708.0	8997.0	8828.0	9396.0	9241.0	9466.0	9272.0	9324.0	8960.0	9367.0	9447.0	9233.0	9218.0	9301.0	9703.0	9259.0	10590.0	10449.0	9541.0	9568.0	9553.0	9412.0	8954.0
Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds	9923.0	10127.0	9650.0	9786.0	9715.0	10149.0	10064.0	9602.0	9960.0	10114.0	11670.0	0.0	9214.0	9492.0	9283.0	9880.0	9731.0	9985.0	9844.0	9849.0	9437.0	9866.0	9969.0	9748.0	9717.0	9806.0	10224.0	9748.0	11079.0	11050.0	10033.0	10073.0	10083.0	9915.0	9436.0
Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds	8972.0	9145.0	8817.0	8862.0	8648.0	9057.0	9100.0	10330.0	8989.0	9149.0	8708.0	9214.0	0.0	8601.0	8119.0	8961.0	8853.0	9030.0	8680.0	8954.0	8548.0	8958.0	9034.0	8804.0	8795.0	8864.0	9213.0	8979.0	9185.0	8985.0	8474.0	9119.0	9123.0	8989.0	8518.0
Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds	9216.0	9445.0	9303.0	9431.0	8957.0	9359.0	9835.0	9018.0	9535.0	9394.0	8997.0	9492.0	8601.0	0.0	8467.0	9472.0	9362.0	9631.0	9042.0	9404.0	8996.0	9513.0	9278.0	9724.0	9728.0	9723.0	9470.0	9242.0	9425.0	9282.0	8756.0	9705.0	9709.0	9533.0	9278.0
Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds	8843.0	8980.0	8559.0	8726.0	8788.0	9179.0	8932.0	8534.0	8878.0	8987.0	8828.0	9283.0	8119.0	8467.0	0.0	8825.0	8644.0	8908.0	8807.0	8765.0	8470.0	8813.0	8844.0	8690.0	8670.0	8715.0	9086.0	8635.0	9234.0	9156.0	8605.0	8985.0	9014.0	8839.0	8363.0
Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds	9614.0	9829.0	9718.0	10266.0	9277.0	9701.0	10075.0	9442.0	10033.0	9804.0	9396.0	9880.0	8961.0	9472.0	8825.0	0.0	9807.0	10150.0	9434.0	9750.0	9273.0	10634.0	9653.0	9733.0	9737.0	9795.0	9922.0	9618.0	9879.0	9706.0	9125.0	10234.0	10250.0	10036.0	9417.0
Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds	9462.0	9678.0	9515.0	9793.0	9190.0	9594.0	9873.0	9239.0	9850.0	9612.0	9241.0	9731.0	8853.0	9362.0	8644.0	9807.0	0.0	10109.0	9323.0	9630.0	9240.0	9833.0	9531.0	9556.0	9541.0	9623.0	9663.0	9456.0	9642.0	9550.0	9001.0	10209.0	10225.0	10103.0	9360.0
Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds	9690.0	9919.0	9758.0	10037.0	9380.0	9814.0	10191.0	9496.0	10204.0	9896.0	9466.0	9985.0	9030.0	9631.0	8908.0	10150.0	10109.0	0.0	9473.0	9873.0	9382.0	10190.0	9750.0	9897.0	9868.0	9922.0	9999.0	9652.0	9957.0	9807.0	9205.0	10842.0	10870.0	10552.0	9555.0
Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds	9607.0	9717.0	9192.0	9304.0	9270.0	9608.0	9600.0	9107.0	9497.0	9756.0	9272.0	9844.0	8680.0	9042.0	8807.0	9434.0	9323.0	9473.0	0.0	9369.0	9075.0	9439.0	9483.0	9257.0	9235.0	9313.0	9796.0	9266.0	9755.0	9714.0	9115.0	9592.0	9630.0	9521.0	9013.0
Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds	9569.0	9774.0	9516.0	9676.0	9317.0	9715.0	9914.0	9387.0	9799.0	9740.0	9324.0	9849.0	8954.0	9404.0	8765.0	9750.0	9630.0	9873.0	9369.0	0.0	10337.0	9773.0	9694.0	9617.0	9621.0	9670.0	9823.0	9596.0	9785.0	9663.0	9083.0	9976.0	9977.0	9800.0	9346.0
Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds	9143.0	9354.0	9065.0	9236.0	8964.0	9285.0	9434.0	8964.0	9378.0	9313.0	8960.0	9437.0	8548.0	8996.0	8470.0	9273.0	9240.0	9382.0	9075.0	10337.0	0.0	9297.0	9266.0	9178.0	9177.0	9236.0	9399.0	9143.0	9359.0	9306.0	8755.0	9487.0	9494.0	9426.0	8972.0
Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds	9614.0	9822.0	9704.0	10361.0	9303.0	9714.0	10075.0	9411.0	10030.0	9795.0	9367.0	9866.0	8958.0	9513.0	8813.0	10634.0	9833.0	10190.0	9439.0	9773.0	9297.0	0.0	9676.0	9740.0	9749.0	9793.0	9886.0	9601.0	9845.0	9691.0	9118.0	10282.0	10277.0	10099.0	9436.0
