	Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds	Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds	Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds	Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds	Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds	Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds	Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds	Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds	Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds	Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds	Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds	Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds	Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds	Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds	Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds	Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds	Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds	Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds	Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds	Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds	Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds	Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds	Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds	Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds	Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds
Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	0.0	1147.0	1196.0	1082.0	1137.0	1245.0	1130.0	1313.0	990.0	1120.0	1138.0	1161.0	1107.0	1045.0	1048.0	1154.0	1092.0	1084.0	1157.0	1056.0	984.0	1151.0	1320.0	1025.0	990.0	1108.0	1107.0	1162.0	1135.0	1095.0	1089.0	1136.0	1109.0	1119.0	1069.0
Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	627.0	0.0	739.0	594.0	783.0	770.0	760.0	836.0	584.0	672.0	714.0	785.0	726.0	630.0	719.0	774.0	704.0	664.0	860.0	632.0	615.0	713.0	821.0	558.0	627.0	604.0	608.0	914.0	746.0	737.0	681.0	743.0	732.0	737.0	659.0
Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	625.0	737.0	0.0	587.0	702.0	714.0	722.0	768.0	613.0	726.0	619.0	669.0	651.0	636.0	645.0	641.0	653.0	634.0	759.0	663.0	705.0	678.0	663.0	602.0	626.0	606.0	726.0	662.0	653.0	631.0	627.0	654.0	631.0	691.0	657.0
Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	938.0	1027.0	901.0	0.0	981.0	964.0	971.0	999.0	803.0	963.0	921.0	929.0	932.0	934.0	802.0	1000.0	840.0	825.0	935.0	901.0	858.0	1028.0	1063.0	830.0	849.0	863.0	1037.0	1009.0	890.0	914.0	923.0	896.0	859.0	858.0	950.0
Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	630.0	680.0	684.0	622.0	0.0	578.0	652.0	814.0	678.0	648.0	604.0	618.0	713.0	605.0	563.0	653.0	626.0	644.0	663.0	639.0	608.0	696.0	740.0	636.0	587.0	626.0	723.0	704.0	609.0	613.0	567.0	697.0	670.0	719.0	627.0
Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	747.0	766.0	808.0	723.0	1018.0	0.0	774.0	886.0	733.0	756.0	746.0	751.0	786.0	720.0	765.0	742.0	740.0	717.0	871.0	742.0	734.0	806.0	832.0	711.0	696.0	768.0	792.0	841.0	746.0	753.0	690.0	840.0	788.0	856.0	685.0
Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	644.0	661.0	702.0	492.0	729.0	701.0	0.0	729.0	545.0	711.0	675.0	739.0	685.0	656.0	663.0	693.0	664.0	569.0	762.0	617.0	650.0	639.0	735.0	524.0	483.0	606.0	633.0	674.0	749.0	742.0	651.0	642.0	626.0	600.0	512.0
Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	1699.0	1727.0	1795.0	1647.0	1754.0	1708.0	1756.0	0.0	1622.0	1792.0	1797.0	1876.0	2168.0	1568.0	1614.0	1749.0	1781.0	1703.0	1943.0	1690.0	1693.0	1709.0	1890.0	1571.0	1623.0	1602.0	1782.0	1819.0	1800.0	1762.0	1695.0	1685.0	1710.0	1722.0	1567.0
Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	869.0	887.0	844.0	830.0	908.0	864.0	918.0	939.0	0.0	892.0	825.0	860.0	824.0	862.0	839.0	847.0	751.0	912.0	851.0	807.0	801.0	892.0	931.0	894.0	911.0	881.0	865.0	943.0	883.0	844.0	819.0	885.0	868.0	887.0	912.0
Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	667.0	730.0	782.0	688.0	800.0	860.0	746.0	824.0	672.0	0.0	755.0	762.0	773.0	645.0	670.0	763.0	742.0	710.0	839.0	689.0	635.0	806.0	858.0	659.0	667.0	750.0	856.0	837.0	727.0	826.0	696.0	734.0	724.0	779.0	761.0
