	Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds	Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds	Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds	Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds	Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds	Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds	Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds	Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds	Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds	Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds	Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds	Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds	Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds	Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds	Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds	Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds	Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds	Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds	Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds	Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds	Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds	Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds	Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds	Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds	Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds
Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	11212	10580	10177	10311	10042	10483	10490	10642	10462	10856	10612	10635	9957	9957	10570	10414	10200	10324	10707	10402	9957	10359	10485	10100	10171	10196	10693	10350	10686	10628	10558	10426	10443	10307	10067
Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	10580	11131	10181	10304	9971	10414	10467	10584	10431	10603	10582	10607	9907	9980	10517	10384	10188	10318	10642	10383	9936	10328	10470	10099	10192	10206	10824	10316	10649	10600	10518	10413	10441	10289	10081
Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	10177	10181	10689	10095	9683	10108	10265	10284	10203	10236	10238	10267	9658	9783	10184	10212	9978	10102	10246	10133	9677	10152	10124	9907	9994	9992	10232	10060	10291	10244	10169	10186	10219	10096	9861
Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	10311	10304	10095	10885	9831	10265	10374	10400	10386	10336	10405	10418	9776	9928	10346	10451	10183	10284	10383	10295	9858	10419	10277	10031	10131	10136	10357	10156	10427	10395	10316	10364	10393	10280	10043
Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	10042	9971	9683	9831	10824	10521	9976	10038	9967	10060	10126	10150	9457	9510	10131	9885	9743	9815	10164	9917	9538	9841	9934	9627	9702	9728	10064	9814	10154	10145	10073	9913	9941	9872	9618
Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	10483	10414	10108	10265	10521	11277	10433	10508	10432	10487	10585	10613	9876	9931	10572	10318	10174	10262	10593	10345	9920	10261	10373	10065	10149	10168	10526	10243	10629	10583	10506	10362	10399	10265	10060
Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	10490	10467	10265	10374	9976	10433	11124	10584	10534	10532	10581	10602	9932	10107	10502	10488	10263	10422	10578	10447	9977	10428	10439	10283	10373	10388	10562	10312	10659	10604	10507	10512	10557	10371	10342
Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	10642	10584	10284	10400	10038	10508	10584	11912	10550	10652	10677	10686	10830	10043	10615	10505	10264	10404	10736	10479	10009	10419	10563	10160	10260	10265	10693	10434	10746	10691	10604	10479	10546	10379	10129
Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	10462	10431	10203	10386	9967	10432	10534	10550	10987	10475	10574	10592	9892	10021	10520	10465	10239	10469	10552	10417	10000	10404	10366	10219	10264	10279	10580	10251	10639	10584	10514	10525	10573	10402	10155
Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	10856	10603	10236	10336	10060	10487	10532	10652	10475	11213	10634	10661	9981	9987	10577	10438	10207	10366	10702	10413	9966	10390	10494	10118	10194	10231	10719	10350	10715	10652	10544	10457	10495	10333	10100
