Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	483	387
OG0000001	542	423
OG0000002	405	318
OG0000003	422	410
OG0000004	353	289
OG0000005	355	278
OG0000006	340	311
OG0000007	421	401
OG0000008	286	243
OG0000009	293	230
OG0000010	263	197
OG0000011	282	263
OG0000012	258	235
OG0000013	355	342
OG0000014	375	355
OG0000015	325	288
OG0000016	229	206
OG0000017	308	276
OG0000018	340	311
OG0000019	196	150
OG0000020	222	36
OG0000021	206	194
OG0000022	244	199
OG0000023	234	70
OG0000024	250	227
OG0000025	204	159
OG0000026	203	122
OG0000027	20	15
OG0000028	123	72
OG0000029	270	266
OG0000030	225	208
OG0000031	174	140
OG0000032	207	190
OG0000033	149	141
OG0000034	233	207
OG0000035	146	107
OG0000036	176	141
OG0000037	167	156
OG0000038	113	100
OG0000039	139	105
OG0000040	155	139
OG0000041	174	149
OG0000042	137	123
OG0000043	141	106
OG0000044	112	100
OG0000045	151	118
OG0000046	158	134
OG0000047	105	93
OG0000048	162	145
OG0000049	200	180
OG0000050	169	134
OG0000051	182	169
OG0000052	142	103
OG0000053	125	14
OG0000054	144	125
OG0000055	81	71
OG0000056	104	100
OG0000057	85	71
OG0000058	104	96
OG0000059	146	119
OG0000060	150	130
OG0000061	64	33
OG0000062	66	55
OG0000063	92	83
OG0000064	111	78
OG0000065	73	57
OG0000066	92	81
OG0000067	110	77
OG0000068	89	79
OG0000069	83	76
OG0000070	140	119
OG0000071	153	131
OG0000072	108	105
OG0000073	90	81
OG0000074	137	125
OG0000075	133	114
OG0000076	36	30
OG0000077	96	69
OG0000078	122	107
OG0000079	105	82
OG0000080	98	8
OG0000081	99	69
OG0000082	113	104
OG0000083	85	78
OG0000084	16	12
OG0000085	146	137
OG0000086	64	60
OG0000087	113	81
OG0000088	108	86
OG0000089	66	59
OG0000090	92	88
OG0000091	85	75
OG0000092	85	78
OG0000093	110	92
OG0000094	102	83
OG0000095	85	48
OG0000096	64	54
OG0000097	121	101
OG0000098	74	64
OG0000099	99	80
OG0000100	96	74
OG0000101	40	34
OG0000102	92	71
OG0000103	83	50
OG0000104	73	70
OG0000105	64	52
OG0000106	23	18
OG0000107	43	20
OG0000108	97	81
OG0000109	56	42
OG0000110	85	70
OG0000111	59	54
OG0000112	93	76
OG0000113	99	76
OG0000114	40	27
OG0000115	122	114
OG0000116	50	47
OG0000117	58	53
OG0000118	46	41
OG0000119	113	101
OG0000120	15	9
OG0000121	31	28
OG0000122	65	63
OG0000123	103	88
OG0000124	44	41
OG0000125	34	29
OG0000126	67	38
OG0000127	82	59
OG0000128	66	59
OG0000129	63	61
OG0000130	98	86
OG0000131	88	78
OG0000132	32	28
OG0000133	44	37
OG0000134	54	45
OG0000135	75	53
OG0000136	124	103
OG0000137	62	54
OG0000138	87	80
OG0000139	110	86
OG0000140	101	62
OG0000141	55	31
OG0000142	32	23
OG0000143	15	13
OG0000144	59	49
OG0000145	48	42
OG0000146	17	17
OG0000147	32	26
OG0000148	46	39
OG0000149	98	84
OG0000150	20	18
OG0000151	108	103
OG0000152	59	45
OG0000153	67	59
OG0000154	75	56
OG0000155	62	57
OG0000156	36	26
OG0000157	53	41
OG0000158	76	60
OG0000159	74	46
OG0000160	74	60
OG0000161	54	41
OG0000162	57	52
OG0000163	47	31
OG0000164	86	70
OG0000165	21	19
OG0000166	29	21
OG0000167	38	28
OG0000168	44	41
OG0000169	59	50
OG0000170	106	101
OG0000171	9	9
OG0000172	61	54
OG0000173	95	86
OG0000174	42	38
OG0000175	38	32
OG0000176	89	87
OG0000177	46	38
OG0000178	35	31
OG0000179	37	28
OG0000180	67	63
OG0000181	37	32
OG0000182	8	4
OG0000183	39	33
OG0000184	54	45
OG0000185	25	22
OG0000186	71	69
OG0000187	20	19
OG0000188	47	41
OG0000189	41	36
OG0000190	63	52
OG0000191	48	34
OG0000192	95	92
OG0000193	69	60
OG0000194	47	39
OG0000195	55	53
OG0000196	62	47
OG0000197	35	32
OG0000198	57	49
OG0000199	50	45
OG0000200	85	78
OG0000201	14	14
OG0000202	69	62
OG0000203	70	63
OG0000204	7	6
OG0000205	18	17
OG0000206	35	33
OG0000207	42	38
OG0000208	43	40
OG0000209	46	41
OG0000210	46	42
OG0000211	27	14
OG0000212	28	26
OG0000213	63	56
OG0000214	53	50
OG0000215	36	32
OG0000216	24	18
OG0000217	43	37
OG0000218	33	30
OG0000219	44	28
OG0000220	31	29
OG0000221	34	30
