	Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds	Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds	Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds	Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds	Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds	Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds	Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds	Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds	Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds	Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds	Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds	Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds	Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds	Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds	Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds	Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds	Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds	Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds	Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds	Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds	Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds	Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds	Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds	Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds	Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds
Number of genes	13873	13876	12987	13577	12794	13881	13592	16554	12804	13604	14962	14933	15681	12469	15967	13777	13771	12136	15506	13379	12178	13515	14107	11885	12810	12147	13557	13971	14679	16182	15089	12431	13223	12042	11924
Number of genes in orthogroups	13778	13791	12810	13419	12696	13787	13505	16313	12707	13387	14897	14884	15414	12319	15690	13653	13679	12113	14953	13286	11988	13397	13883	11868	12768	12125	13420	13657	14569	15500	14830	12400	13199	12009	11840
Number of unassigned genes	95	85	177	158	98	94	87	241	97	217	65	49	267	150	277	124	92	23	553	93	190	118	224	17	42	22	137	314	110	682	259	31	24	33	84
Percentage of genes in orthogroups	99.3	99.4	98.6	98.8	99.2	99.3	99.4	98.5	99.2	98.4	99.6	99.7	98.3	98.8	98.3	99.1	99.3	99.8	96.4	99.3	98.4	99.1	98.4	99.9	99.7	99.8	99.0	97.8	99.3	95.8	98.3	99.8	99.8	99.7	99.3
Percentage of unassigned genes	0.7	0.6	1.4	1.2	0.8	0.7	0.6	1.5	0.8	1.6	0.4	0.3	1.7	1.2	1.7	0.9	0.7	0.2	3.6	0.7	1.6	0.9	1.6	0.1	0.3	0.2	1.0	2.2	0.7	4.2	1.7	0.2	0.2	0.3	0.7
Number of orthogroups containing species	11212	11131	10689	10885	10824	11277	11124	11912	10987	11213	11567	11624	11239	10399	11384	11089	10729	10814	11625	11012	10556	10974	11065	10621	10771	10752	11275	10883	11698	11903	11356	10946	11032	10822	10546
Percentage of orthogroups containing species	67.9	67.4	64.7	65.9	65.5	68.3	67.3	72.1	66.5	67.9	70.0	70.4	68.0	62.9	68.9	67.1	64.9	65.5	70.4	66.7	63.9	66.4	67.0	64.3	65.2	65.1	68.3	65.9	70.8	72.1	68.7	66.3	66.8	65.5	63.8
Number of species-specific orthogroups	26	24	52	34	9	21	18	73	32	26	8	10	87	32	117	34	31	6	85	24	3	21	80	4	10	8	29	79	22	196	37	5	7	13	10
Number of genes in species-specific orthogroups	155	164	242	129	40	120	89	264	114	87	25	27	367	128	489	112	106	19	243	153	8	72	350	61	45	26	109	368	116	649	125	13	37	41	22
Percentage of genes in species-specific orthogroups	1.1	1.2	1.9	1.0	0.3	0.9	0.7	1.6	0.9	0.6	0.2	0.2	2.3	1.0	3.1	0.8	0.8	0.2	1.6	1.1	0.1	0.5	2.5	0.5	0.4	0.2	0.8	2.6	0.8	4.0	0.8	0.1	0.3	0.3	0.2


