	Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds	Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds	Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds	Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds	Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds	Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds	Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds	Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds	Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds	Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds	Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds	Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds	Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds	Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds	Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds	Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds	Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds	Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds	Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds	Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds	Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds	Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds	Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds	Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds	Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds
Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	0.0	229.0	251.0	350.0	262.0	284.0	235.0	710.0	358.0	270.0	794.0	317.0	553.0	255.0	1326.0	304.0	284.0	161.0	769.0	328.0	302.0	240.0	354.0	188.0	261.0	213.0	243.0	279.0	379.0	460.0	968.0	155.0	202.0	204.0	448.0
Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	489.0	0.0	283.0	365.0	290.0	293.0	242.0	723.0	365.0	298.0	796.0	321.0	538.0	277.0	1365.0	298.0	299.0	166.0	829.0	334.0	314.0	241.0	362.0	188.0	264.0	217.0	232.0	292.0	389.0	492.0	980.0	169.0	218.0	219.0	444.0
Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	473.0	247.0	0.0	336.0	275.0	281.0	246.0	708.0	349.0	296.0	773.0	320.0	541.0	260.0	1313.0	296.0	287.0	160.0	783.0	310.0	291.0	216.0	340.0	178.0	254.0	209.0	245.0	288.0	374.0	452.0	939.0	170.0	199.0	195.0	425.0
Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	458.0	221.0	218.0	0.0	256.0	272.0	197.0	690.0	324.0	275.0	757.0	281.0	513.0	248.0	1289.0	268.0	244.0	124.0	746.0	289.0	275.0	153.0	326.0	159.0	221.0	183.0	233.0	259.0	354.0	441.0	925.0	108.0	138.0	141.0	412.0
Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	457.0	259.0	256.0	345.0	0.0	355.0	246.0	715.0	365.0	298.0	800.0	302.0	501.0	262.0	1327.0	291.0	308.0	171.0	742.0	318.0	281.0	231.0	351.0	195.0	257.0	218.0	264.0	288.0	378.0	459.0	928.0	152.0	199.0	199.0	448.0
Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	490.0	252.0	266.0	343.0	249.0	0.0	249.0	723.0	351.0	310.0	835.0	319.0	514.0	279.0	1363.0	317.0	294.0	172.0	773.0	330.0	307.0	237.0	356.0	196.0	278.0	229.0	283.0	294.0	409.0	489.0	972.0	162.0	205.0	208.0	450.0
Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	470.0	254.0	277.0	349.0	269.0	286.0	0.0	731.0	366.0	294.0	799.0	329.0	545.0	263.0	1349.0	314.0	309.0	172.0	788.0	321.0	295.0	219.0	349.0	176.0	279.0	208.0	247.0	267.0	394.0	503.0	989.0	160.0	211.0	198.0	372.0
Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	519.0	275.0	287.0	347.0	337.0	318.0	268.0	0.0	379.0	332.0	833.0	372.0	649.0	316.0	1381.0	320.0	338.0	193.0	986.0	360.0	348.0	253.0	388.0	211.0	295.0	251.0	293.0	310.0	425.0	603.0	1017.0	180.0	232.0	237.0	461.0
Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	431.0	213.0	227.0	314.0	272.0	258.0	216.0	687.0	0.0	276.0	789.0	281.0	505.0	235.0	1319.0	267.0	228.0	136.0	725.0	302.0	280.0	190.0	326.0	174.0	237.0	194.0	238.0	240.0	371.0	454.0	946.0	140.0	160.0	171.0	427.0
Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	462.0	241.0	270.0	354.0	271.0	292.0	258.0	740.0	374.0	0.0	789.0	305.0	538.0	273.0	1357.0	316.0	299.0	172.0	782.0	343.0	308.0	250.0	356.0	197.0	254.0	222.0	258.0	274.0	374.0	475.0	979.0	174.0	217.0	221.0	462.0
Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds	473.0	246.0	240.0	330.0	261.0	283.0	250.0	707.0	345.0	295.0	0.0	303.0	513.0	258.0	1242.0	301.0	281.0	144.0	759.0	297.0	258.0	218.0	350.0	171.0	245.0	200.0	266.0	285.0	327.0	399.0	925.0	135.0	196.0	180.0	422.0
Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds	479.0	256.0	264.0	336.0	267.0	290.0	260.0	742.0	356.0	301.0	828.0	0.0	535.0	272.0	1335.0	309.0	294.0	155.0	758.0	311.0	283.0	210.0	351.0	181.0	257.0	210.0	263.0	296.0	359.0	404.0	965.0	156.0	191.0	194.0	446.0
Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds	480.0	252.0	261.0	339.0	304.0	299.0	257.0	872.0	347.0	303.0	810.0	343.0	0.0	290.0	1344.0	290.0	298.0	176.0	903.0	347.0	339.0	236.0	382.0	211.0	285.0	233.0	257.0	316.0	387.0	572.0	959.0	161.0	209.0	221.0	467.0
Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds	433.0	222.0	234.0	321.0	248.0	261.0	223.0	655.0	342.0	262.0	749.0	280.0	483.0	0.0	1267.0	277.0	273.0	149.0	736.0	294.0	281.0	203.0	326.0	174.0	239.0	188.0	240.0	249.0	346.0	465.0	902.0	133.0	164.0	175.0	412.0
Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds	426.0	230.0	242.0	295.0	230.0	265.0	224.0	647.0	342.0	267.0	709.0	288.0	484.0	257.0	0.0	273.0	268.0	142.0	692.0	293.0	256.0	200.0	326.0	168.0	243.0	212.0	238.0	262.0	361.0	431.0	879.0	132.0	191.0	174.0	425.0
Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds	470.0	254.0	249.0	383.0	268.0	273.0	235.0	703.0	345.0	304.0	791.0	316.0	541.0	262.0	1303.0	0.0	276.0	136.0	780.0	308.0	300.0	186.0	353.0	189.0	261.0	222.0	257.0	279.0	375.0	486.0	969.0	144.0	181.0	163.0	438.0
Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds	461.0	247.0	249.0	319.0	258.0	281.0	236.0	712.0	318.0	296.0	749.0	289.0	516.0	260.0	1298.0	290.0	0.0	134.0	729.0	299.0	270.0	190.0	342.0	172.0	255.0	203.0	250.0	279.0	362.0	470.0	928.0	130.0	178.0	154.0	414.0
Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds	464.0	239.0	243.0	328.0	269.0	276.0	223.0	712.0	360.0	285.0	797.0	302.0	528.0	261.0	1321.0	283.0	250.0	0.0	766.0	314.0	294.0	198.0	324.0	203.0	268.0	232.0	253.0	257.0	370.0	462.0	952.0	128.0	160.0	126.0	448.0
Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds	484.0	266.0	273.0	348.0	266.0	309.0	263.0	748.0	344.0	309.0	821.0	344.0	556.0	258.0	1336.0	324.0	315.0	171.0	0.0	328.0	270.0	236.0	377.0	169.0	254.0	210.0	277.0	304.0	410.0	520.0	994.0	166.0	202.0	196.0	417.0
Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds	458.0	236.0	258.0	324.0	266.0	284.0	236.0	717.0	345.0	279.0	777.0	296.0	508.0	259.0	1322.0	276.0	282.0	164.0	781.0	0.0	262.0	212.0	342.0	188.0	255.0	225.0	252.0	267.0	391.0	482.0	970.0	149.0	180.0	181.0	436.0
Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds	426.0	205.0	250.0	314.0	250.0	274.0	232.0	673.0	334.0	261.0	722.0	264.0	480.0	246.0	1241.0	265.0	260.0	163.0	729.0	283.0	0.0	203.0	318.0	179.0	252.0	220.0	228.0	253.0	345.0	436.0	910.0	152.0	186.0	185.0	421.0
Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds	476.0	249.0	264.0	377.0	288.0	291.0	245.0	709.0	357.0	316.0	806.0	317.0	527.0	269.0	1313.0	299.0	278.0	142.0	776.0	320.0	309.0	0.0	335.0	182.0	256.0	220.0	250.0	277.0	392.0	489.0	962.0	148.0	186.0	165.0	448.0
Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds	527.0	281.0	262.0	375.0	310.0	323.0	270.0	755.0	382.0	334.0	821.0	332.0	589.0	292.0	1354.0	336.0	312.0	199.0	844.0	355.0	324.0	264.0	0.0	195.0	275.0	239.0	258.0	321.0	404.0	522.0	997.0	185.0	233.0	238.0	461.0
Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds	436.0	204.0	230.0	308.0	259.0	269.0	200.0	657.0	359.0	269.0	763.0	270.0	502.0	244.0	1292.0	263.0	258.0	151.0	741.0	292.0	287.0	190.0	306.0	0.0	202.0	114.0	230.0	242.0	350.0	448.0	915.0	136.0	177.0	174.0	411.0
Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds	431.0	222.0	243.0	310.0	247.0	265.0	194.0	672.0	361.0	269.0	776.0	282.0	502.0	250.0	1298.0	272.0	266.0	155.0	759.0	290.0	282.0	206.0	314.0	93.0	0.0	118.0	226.0	243.0	363.0	451.0	935.0	138.0	180.0	177.0	399.0
Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds	451.0	216.0	235.0	322.0	256.0	274.0	214.0	678.0	357.0	285.0	776.0	287.0	514.0	248.0	1318.0	266.0	271.0	160.0	767.0	295.0	294.0	200.0	333.0	104.0	241.0	0.0	233.0	242.0	360.0	453.0	927.0	145.0	183.0	175.0	408.0
Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds	477.0	218.0	280.0	354.0	302.0	301.0	244.0	736.0	368.0	305.0	808.0	312.0	535.0	291.0	1362.0	307.0	288.0	169.0	812.0	344.0	318.0	244.0	348.0	194.0	261.0	223.0	0.0	283.0	395.0	496.0	989.0	173.0	210.0	220.0	460.0
Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds	506.0	283.0	256.0	350.0	312.0	315.0	264.0	732.0	393.0	329.0	813.0	353.0	565.0	316.0	1374.0	312.0	332.0	196.0	898.0	348.0	346.0	253.0	386.0	208.0	295.0	246.0	284.0	0.0	426.0	541.0	1016.0	181.0	234.0	237.0	477.0
Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds	479.0	256.0	253.0	335.0	265.0	289.0	263.0	723.0	363.0	283.0	770.0	279.0	502.0	279.0	1320.0	305.0	292.0	152.0	756.0	317.0	284.0	232.0	339.0	177.0	259.0	207.0	262.0	295.0	0.0	413.0	977.0	148.0	206.0	198.0	443.0
Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds	462.0	259.0	245.0	332.0	261.0	295.0	267.0	707.0	349.0	286.0	809.0	276.0	506.0	268.0	1305.0	307.0	308.0	151.0	751.0	309.0	281.0	230.0	334.0	178.0	262.0	206.0	263.0	313.0	302.0	0.0	985.0	155.0	212.0	202.0	436.0
